Car_Name,Brand,Year,Car_Age,Kms_Driven,Fuel_Type,Transmission,Owner,Engine,Power,Efficiency,Seats,Location,Seller_Type,Present_Price,Selling_Price
Nexon,Tata,2020,4,55012,Petrol,Manual,0,1397,123.8,20.1,5,Bangalore,Individual,9.39,6.65
Indica,Tata,2009,15,71172,Petrol,Manual,1,1361,74.0,14.9,5,Ahmedabad,Dealer,5.76,2.3
Nexon,Tata,2019,5,40742,Petrol,Automatic,2,1347,127.2,15.8,5,Ahmedabad,Individual,11.53,6.91
Punch,Tata,2022,2,13328,Petrol,Automatic,2,1199,89.2,14.9,5,Mumbai,Individual,7.17,5.5
Punch,Tata,2021,3,32723,Petrol,Manual,1,1199,86.9,14.7,5,Delhi,Dealer,6.72,4.83
Safari,Tata,2023,1,32012,Diesel,Manual,2,1956,165.4,21.0,7,Hyderabad,Dealer,18.4,14.59
Tiago,Tata,2017,7,95069,CNG,Manual,2,1199,89.0,25.5,5,Mumbai,Dealer,7.16,3.13
Altroz,Tata,2021,3,67829,Petrol,Manual,1,1309,111.8,14.6,5,Delhi,Dealer,11.44,7.82
Nexon,Tata,2024,0,13852,Diesel,Manual,0,1251,123.0,21.2,5,Mumbai,Dealer,14.85,13.37
Tigor,Tata,2020,4,46011,CNG,Manual,2,1199,87.2,22.7,5,Bangalore,Dealer,9.19,5.8
Safari,Tata,2023,1,10260,Diesel,Automatic,0,1956,164.9,18.9,7,Hyderabad,Individual,21.7,19.53
Nexon EV,Tata,2024,0,6978,Electric,Automatic,1,0,128.5,307.3,5,Ahmedabad,Dealer,16.5,14.85
Tigor,Tata,2019,5,98808,CNG,Automatic,1,1199,85.5,23.1,5,Chennai,Individual,8.49,5.04
Safari,Tata,2024,0,10599,Diesel,Automatic,2,1956,171.0,26.5,7,Bangalore,Dealer,23.96,20.54
Nexon,Tata,2020,4,17367,Diesel,Manual,1,1277,125.4,25.5,5,Pune,Dealer,11.25,8.14
Altroz,Tata,2024,0,10517,Diesel,Automatic,2,1448,103.1,28.0,5,Chennai,Individual,8.68,7.42
Safari,Tata,2024,0,10492,Diesel,Automatic,0,1956,173.1,23.4,6,Pune,Dealer,16.76,15.08
Tigor,Tata,2020,4,59340,Petrol,Automatic,1,1199,89.7,21.6,5,Delhi,Dealer,8.77,5.79
Nexon EV,Tata,2020,4,40939,Electric,Automatic,1,0,139.9,350.4,5,Mumbai,Dealer,17.26,12.59
Nexon,Tata,2018,6,57521,Petrol,Manual,3,1248,127.3,16.7,5,Mumbai,Dealer,9.74,4.61
Nexon EV,Tata,2023,1,31711,Electric,Automatic,1,0,131.5,282.8,5,Ahmedabad,Individual,16.4,14.76
Punch,Tata,2023,1,23507,Petrol,Manual,1,1199,88.3,15.8,5,Bangalore,Individual,9.37,7.77
Punch,Tata,2022,2,20163,Petrol,Automatic,1,1199,88.7,20.6,5,Pune,Dealer,6.53,5.25
Nano,Tata,2015,9,142408,Petrol,Manual,0,659,38.0,20.1,4,Mumbai,Individual,2.93,1.19
Nexon EV,Tata,2023,1,29151,Electric,Automatic,1,0,135.3,342.5,5,Pune,Dealer,15.15,13.29
Indica,Tata,2010,14,66623,CNG,Manual,3,1270,65.2,28.1,5,Ahmedabad,Dealer,5.63,2.25
Altroz,Tata,2024,0,4727,Diesel,Automatic,2,1394,106.4,27.9,5,Pune,Dealer,7.04,6.03
Altroz,Tata,2023,1,29442,Diesel,Automatic,2,1459,108.5,24.4,5,Mumbai,Individual,7.79,6.38
Harrier,Tata,2021,3,30746,Diesel,Manual,1,1956,171.4,23.4,5,Delhi,Individual,18.08,13.6
Tiago,Tata,2024,0,3941,CNG,Manual,1,1199,91.2,29.1,5,Chennai,Individual,5.67,5.07
Harrier,Tata,2023,1,22647,Diesel,Manual,0,1956,166.1,21.9,5,Bangalore,Individual,19.14,17.23
Tiago,Tata,2018,6,121115,Petrol,Manual,1,1199,87.7,20.9,5,Mumbai,Dealer,5.12,2.66
Nexon EV,Tata,2023,1,13207,Electric,Automatic,1,0,142.8,221.4,5,Pune,Individual,14.08,12.67
Tiago,Tata,2019,5,38444,Petrol,Automatic,0,1199,87.7,19.7,5,Ahmedabad,Individual,6.95,4.73
Harrier,Tata,2019,5,103390,Diesel,Automatic,0,1956,166.9,27.5,5,Pune,Dealer,20.47,13.36
Nexon,Tata,2024,0,9171,Petrol,Automatic,0,1328,127.1,14.7,5,Hyderabad,Individual,9.24,8.32
Safari,Tata,2022,2,22201,Diesel,Automatic,0,1956,173.3,23.8,7,Bangalore,Dealer,24.14,21.24
Indica,Tata,2015,9,127880,Petrol,Manual,3,1365,69.2,19.0,5,Hyderabad,Individual,4.44,1.78
Tigor,Tata,2019,5,83352,Petrol,Manual,1,1199,89.2,15.8,5,Delhi,Individual,9.26,5.36
Punch,Tata,2024,0,13185,Petrol,Automatic,0,1199,90.0,20.6,5,Delhi,Individual,8.38,7.54
Tiago,Tata,2023,1,4258,Petrol,Manual,0,1199,87.6,14.8,5,Delhi,Individual,5.91,5.32
Tiago,Tata,2019,5,52468,Petrol,Manual,0,1199,86.3,17.9,5,Ahmedabad,Dealer,5.6,3.8
Harrier,Tata,2022,2,31710,Diesel,Automatic,1,1956,172.3,27.3,5,Chennai,Dealer,15.81,12.82
Nexon,Tata,2018,6,119641,Diesel,Automatic,2,1205,122.5,24.8,5,Bangalore,Dealer,8.41,4.15
Tigor,Tata,2017,7,47174,Petrol,Manual,2,1199,87.1,15.9,5,Pune,Dealer,7.97,3.86
Altroz,Tata,2021,3,27795,Diesel,Manual,0,1360,103.2,22.4,5,Bangalore,Dealer,10.64,8.89
Nexon EV,Tata,2022,2,29793,Electric,Automatic,3,0,134.4,382.0,5,Bangalore,Individual,18.39,12.43
Nexon,Tata,2024,0,10120,Diesel,Automatic,1,1464,124.6,26.3,5,Mumbai,Dealer,8.23,7.41
Punch,Tata,2022,2,27600,Petrol,Manual,2,1199,88.4,16.4,5,Hyderabad,Dealer,10.02,7.15
Nexon EV,Tata,2021,3,13019,Electric,Automatic,2,0,137.1,354.2,5,Mumbai,Dealer,16.8,12.46
Indica,Tata,2014,10,63906,Petrol,Manual,1,1360,73.6,21.6,5,Bangalore,Individual,4.26,1.7
Altroz,Tata,2023,1,27002,Diesel,Automatic,1,1326,97.0,22.1,5,Delhi,Individual,9.96,8.7
Punch,Tata,2022,2,19781,Petrol,Manual,2,1199,87.2,14.2,5,Chennai,Dealer,7.75,5.79
Nexon EV,Tata,2021,3,54502,Electric,Automatic,0,0,125.4,258.4,5,Pune,Dealer,14.7,12.49
Punch,Tata,2024,0,1873,Petrol,Automatic,0,1199,90.9,21.9,5,Mumbai,Individual,10.02,9.02
Safari,Tata,2021,3,47710,Diesel,Automatic,3,1956,169.3,19.8,6,Chennai,Dealer,21.46,13.57
Indica,Tata,2017,7,67510,Petrol,Manual,3,1387,66.3,15.9,5,Chennai,Dealer,5.49,2.33
Safari,Tata,2022,2,20082,Diesel,Automatic,3,1956,171.5,22.1,7,Pune,Dealer,23.75,16.52
Safari,Tata,2022,2,48875,Diesel,Automatic,3,1956,169.1,22.8,7,Ahmedabad,Dealer,17.67,11.95
Nexon EV,Tata,2022,2,28741,Electric,Automatic,2,0,135.1,364.8,5,Mumbai,Dealer,14.48,11.25
Harrier,Tata,2020,4,31842,Diesel,Manual,0,1956,167.4,19.0,5,Bangalore,Dealer,17.3,13.14
Harrier,Tata,2021,3,43531,Diesel,Automatic,0,1956,173.6,21.1,5,Bangalore,Dealer,20.09,16.65
Tiago,Tata,2022,2,22023,Petrol,Automatic,0,1199,87.6,20.3,5,Delhi,Individual,8.02,7.17
Harrier,Tata,2020,4,30714,Diesel,Automatic,1,1956,170.2,19.4,5,Ahmedabad,Individual,15.34,10.91
Nexon,Tata,2023,1,15178,Diesel,Manual,1,1338,130.3,19.4,5,Bangalore,Individual,11.2,9.75
Nexon,Tata,2021,3,38478,Diesel,Manual,0,1420,126.9,19.9,5,Ahmedabad,Dealer,10.46,8.66
Safari,Tata,2023,1,19871,Diesel,Automatic,2,1956,168.8,19.6,6,Hyderabad,Dealer,21.13,16.7
Tigor,Tata,2019,5,28640,Petrol,Automatic,0,1199,88.1,17.6,5,Chennai,Individual,8.43,5.89
Safari,Tata,2021,3,17504,Diesel,Automatic,1,1956,166.8,20.9,7,Bangalore,Dealer,22.02,17.79
Safari,Tata,2022,2,36307,Diesel,Manual,0,1956,166.5,20.1,6,Chennai,Individual,17.21,14.81
Harrier,Tata,2023,1,32729,Diesel,Automatic,0,1956,173.9,18.8,5,Pune,Individual,21.81,19.63
Tigor,Tata,2017,7,56073,CNG,Automatic,1,1199,92.1,23.9,5,Chennai,Dealer,6.78,3.53
Nano,Tata,2009,15,140849,Petrol,Manual,0,692,37.1,20.7,4,Hyderabad,Individual,1.68,0.67
Punch,Tata,2023,1,26911,Petrol,Manual,2,1199,88.9,14.8,5,Bangalore,Dealer,8.1,6.01
Harrier,Tata,2022,2,41941,Diesel,Automatic,0,1956,165.9,22.7,5,Chennai,Dealer,15.89,14.17
Nexon EV,Tata,2024,0,8554,Electric,Automatic,1,0,132.8,292.0,5,Bangalore,Dealer,17.75,15.97
Tigor,Tata,2017,7,122127,CNG,Manual,0,1199,88.5,23.6,5,Bangalore,Dealer,7.83,3.99
Altroz,Tata,2024,0,6200,Diesel,Automatic,0,1307,96.7,19.8,5,Ahmedabad,Individual,7.44,6.7
Punch,Tata,2021,3,23408,Petrol,Manual,0,1199,88.0,16.2,5,Ahmedabad,Dealer,7.39,5.95
Altroz,Tata,2021,3,38687,Diesel,Manual,3,1336,99.8,20.3,5,Hyderabad,Dealer,11.49,7.08
Harrier,Tata,2024,0,11879,Diesel,Automatic,1,1956,173.5,25.0,5,Hyderabad,Dealer,17.54,15.79
Punch,Tata,2022,2,49956,Petrol,Manual,0,1199,91.5,16.7,5,Mumbai,Dealer,7.29,5.9
Tigor,Tata,2019,5,96200,Petrol,Automatic,1,1199,85.7,21.7,5,Mumbai,Individual,8.66,5.05
Punch,Tata,2022,2,8093,Petrol,Manual,0,1199,85.6,16.9,5,Hyderabad,Individual,9.68,8.71
Nexon,Tata,2022,2,32534,Diesel,Manual,0,1331,129.4,21.5,5,Ahmedabad,Dealer,13.12,11.15
Punch,Tata,2024,0,2744,Petrol,Automatic,1,1199,90.0,17.8,5,Mumbai,Individual,9.66,8.69
Harrier,Tata,2023,1,12826,Diesel,Automatic,0,1956,171.6,25.9,5,Ahmedabad,Dealer,16.58,14.92
Altroz,Tata,2021,3,44792,Diesel,Manual,2,1447,96.6,18.6,5,Pune,Individual,8.74,5.84
Safari,Tata,2021,3,13003,Diesel,Manual,1,1956,168.8,21.9,6,Bangalore,Individual,21.49,17.14
Nexon EV,Tata,2021,3,55250,Electric,Automatic,0,0,141.7,329.5,5,Delhi,Individual,18.27,14.73
Altroz,Tata,2022,2,49910,Diesel,Automatic,1,1310,102.1,18.5,5,Mumbai,Dealer,10.89,8.8
Nexon,Tata,2022,2,45201,Diesel,Automatic,2,1381,127.2,23.5,5,Delhi,Dealer,14.23,10.36
Safari,Tata,2024,0,5573,Diesel,Manual,1,1956,166.5,24.2,6,Mumbai,Dealer,21.53,19.38
Safari,Tata,2021,3,50775,Diesel,Automatic,1,1956,168.5,22.7,6,Delhi,Dealer,17.99,13.33
Nexon,Tata,2022,2,47613,Petrol,Manual,1,1375,123.0,16.8,5,Ahmedabad,Individual,14.91,11.18
Tiago,Tata,2018,6,43764,Petrol,Manual,1,1199,86.6,18.9,5,Pune,Individual,7.14,4.24
Tigor,Tata,2020,4,60969,CNG,Automatic,1,1199,89.6,26.9,5,Hyderabad,Dealer,7.76,5.25
Altroz,Tata,2023,1,25138,Diesel,Manual,2,1421,101.5,25.5,5,Chennai,Dealer,7.44,5.85
Nexon,Tata,2023,1,9234,Petrol,Automatic,1,1345,120.5,19.1,5,Pune,Dealer,12.37,11.03
Punch,Tata,2023,1,9864,Petrol,Manual,3,1199,87.2,21.0,5,Delhi,Individual,9.86,7.18
Altroz,Tata,2024,0,7283,Petrol,Manual,2,1396,112.1,19.9,5,Bangalore,Dealer,11.11,9.51
Altroz,Tata,2024,0,1105,Diesel,Manual,2,1276,98.7,21.9,5,Chennai,Individual,8.4,7.32
Tiago,Tata,2024,0,14822,CNG,Manual,1,1199,91.1,29.7,5,Mumbai,Dealer,6.69,6.02
Nexon EV,Tata,2020,4,27270,Electric,Automatic,0,0,125.2,330.0,5,Mumbai,Dealer,18.79,14.72
Tigor,Tata,2023,1,4303,Petrol,Manual,0,1199,90.2,20.4,5,Ahmedabad,Individual,9.89,8.9
Tiago,Tata,2017,7,102549,CNG,Manual,0,1199,87.8,26.6,5,Pune,Dealer,6.07,3.22
Tigor,Tata,2020,4,47577,Petrol,Automatic,3,1199,89.3,14.7,5,Hyderabad,Dealer,8.41,4.61
Tiago,Tata,2022,2,50536,Petrol,Manual,1,1199,89.0,15.4,5,Bangalore,Dealer,7.11,5.3
Nexon EV,Tata,2020,4,77674,Electric,Automatic,2,0,131.0,312.7,5,Chennai,Individual,15.93,9.77
Tigor,Tata,2019,5,25763,CNG,Manual,0,1199,90.5,27.6,5,Mumbai,Individual,9.95,6.85
Tiago,Tata,2023,1,30684,Petrol,Manual,2,1199,86.3,14.5,5,Delhi,Dealer,8.08,6.21
Tigor,Tata,2020,4,69986,Petrol,Manual,2,1199,91.1,21.9,5,Ahmedabad,Dealer,7.32,4.21
Harrier,Tata,2019,5,24346,Diesel,Automatic,0,1956,169.7,20.4,5,Delhi,Dealer,18.73,13.4
Nexon,Tata,2022,2,35896,Petrol,Automatic,0,1310,129.6,15.1,5,Delhi,Dealer,13.23,11.26
Nexon EV,Tata,2023,1,32390,Electric,Automatic,2,0,130.1,383.9,5,Mumbai,Individual,15.16,12.44
Harrier,Tata,2024,0,9818,Diesel,Automatic,1,1956,164.4,22.4,5,Bangalore,Individual,20.67,18.6
Harrier,Tata,2024,0,12038,Diesel,Manual,1,1956,167.4,23.2,5,Delhi,Dealer,16.38,14.74
Nexon EV,Tata,2024,0,9753,Electric,Automatic,1,0,136.4,285.3,5,Chennai,Dealer,19.25,17.32
Altroz,Tata,2023,1,10232,Petrol,Manual,0,1469,105.4,20.2,5,Bangalore,Dealer,9.23,8.31
Nexon,Tata,2018,6,73920,Petrol,Manual,1,1460,125.0,21.7,5,Pune,Individual,14.43,7.78
Altroz,Tata,2020,4,67433,Petrol,Automatic,0,1205,94.5,20.8,5,Delhi,Dealer,10.01,7.06
Tigor,Tata,2018,6,95336,Petrol,Manual,3,1199,90.0,15.1,5,Hyderabad,Dealer,7.41,3.19
Punch,Tata,2022,2,46279,Petrol,Manual,0,1199,88.3,18.7,5,Delhi,Individual,8.78,7.11
Tiago,Tata,2018,6,37981,CNG,Automatic,0,1199,87.8,25.8,5,Mumbai,Dealer,5.96,3.93
Harrier,Tata,2021,3,38571,Diesel,Automatic,0,1956,167.5,25.8,5,Delhi,Individual,18.9,15.31
Punch,Tata,2022,2,19847,Petrol,Manual,2,1199,88.5,17.0,5,Delhi,Dealer,9.93,7.11
Harrier,Tata,2020,4,24755,Diesel,Automatic,1,1956,173.2,18.0,5,Ahmedabad,Dealer,21.68,15.76
Tiago,Tata,2018,6,119490,CNG,Automatic,0,1199,86.4,25.5,5,Bangalore,Dealer,6.05,3.43
Tiago,Tata,2016,8,116495,Petrol,Manual,1,1199,88.8,14.5,5,Mumbai,Individual,5.15,2.25
Punch,Tata,2022,2,41818,Petrol,Manual,2,1199,89.3,16.4,5,Pune,Dealer,8.32,5.75
Nexon,Tata,2017,7,90432,Petrol,Automatic,0,1444,131.3,15.7,5,Bangalore,Individual,14.91,8.06
Nexon,Tata,2022,2,50604,Diesel,Automatic,0,1355,124.5,21.8,5,Delhi,Dealer,11.61,10.1
Harrier,Tata,2023,1,14219,Diesel,Automatic,3,1956,164.2,24.6,5,Ahmedabad,Dealer,21.4,15.39
Nexon EV,Tata,2021,3,55279,Electric,Automatic,0,0,129.8,392.5,5,Ahmedabad,Dealer,16.51,13.22
Nexon,Tata,2019,5,92882,Petrol,Automatic,2,1284,121.8,21.3,5,Bangalore,Dealer,9.57,5.03
Punch,Tata,2023,1,9227,Petrol,Manual,2,1199,90.3,21.2,5,Chennai,Individual,8.6,6.54
Punch,Tata,2022,2,27123,Petrol,Automatic,3,1199,87.2,19.1,5,Pune,Individual,7.78,5.13
Punch,Tata,2021,3,34655,Petrol,Manual,2,1199,87.2,14.4,5,Delhi,Dealer,9.65,6.51
Nexon EV,Tata,2024,0,14139,Electric,Automatic,1,0,142.6,222.3,5,Bangalore,Dealer,16.02,14.42
Tigor,Tata,2017,7,98779,Petrol,Manual,2,1199,89.0,20.9,5,Bangalore,Individual,8.29,3.74
Harrier,Tata,2022,2,18866,Diesel,Manual,1,1956,170.2,21.5,5,Pune,Dealer,17.33,14.24
Altroz,Tata,2023,1,16123,Petrol,Automatic,0,1456,97.1,19.5,5,Bangalore,Individual,9.64,8.68
Tigor,Tata,2023,1,17052,Petrol,Manual,0,1199,89.8,20.4,5,Bangalore,Dealer,8.14,7.33
Nexon EV,Tata,2024,0,4045,Electric,Automatic,1,0,149.2,385.5,5,Mumbai,Dealer,17.16,15.44
Nexon,Tata,2017,7,47594,Diesel,Manual,0,1366,124.4,24.1,5,Ahmedabad,Dealer,11.39,6.56
Nexon EV,Tata,2024,0,8177,Electric,Automatic,2,0,135.7,394.5,5,Delhi,Dealer,17.73,15.64
Nexon EV,Tata,2024,0,8182,Electric,Automatic,2,0,130.1,358.8,5,Bangalore,Individual,17.41,15.67
Punch,Tata,2021,3,46084,Petrol,Automatic,0,1199,87.3,16.6,5,Hyderabad,Dealer,7.09,5.76
Punch,Tata,2023,1,20646,Petrol,Manual,1,1199,91.5,15.9,5,Pune,Dealer,10.11,8.71
Punch,Tata,2021,3,41848,Petrol,Manual,0,1199,89.2,20.0,5,Ahmedabad,Dealer,10.24,7.85
Punch,Tata,2022,2,41836,Petrol,Manual,0,1199,85.3,20.7,5,Hyderabad,Dealer,6.53,5.45
Tiago,Tata,2016,8,154618,Petrol,Manual,0,1199,87.9,21.9,5,Hyderabad,Individual,7.56,3.28
Tiago,Tata,2021,3,59149,CNG,Manual,3,1199,86.3,22.5,5,Pune,Dealer,7.07,4.04
Tigor,Tata,2023,1,5425,CNG,Manual,0,1199,85.5,24.4,5,Mumbai,Dealer,9.88,8.89
Safari,Tata,2021,3,12396,Diesel,Automatic,0,1956,170.0,26.0,7,Bangalore,Dealer,16.1,14.03
Indica,Tata,2009,15,115079,Petrol,Manual,0,1244,66.6,15.7,5,Delhi,Dealer,4.93,1.97
Nexon,Tata,2022,2,13841,Diesel,Manual,2,1209,126.5,21.1,5,Delhi,Dealer,8.83,6.64
Punch,Tata,2024,0,14859,Petrol,Automatic,1,1199,88.0,21.0,5,Hyderabad,Dealer,7.27,6.53
Tiago,Tata,2019,5,84980,CNG,Manual,2,1199,88.8,24.4,5,Ahmedabad,Dealer,8.14,4.36
Nexon,Tata,2018,6,74207,Petrol,Automatic,2,1446,120.4,18.0,5,Bangalore,Dealer,9.48,5.02
Tiago,Tata,2019,5,83029,Petrol,Automatic,0,1199,84.3,20.4,5,Bangalore,Dealer,5.23,3.48
Nexon,Tata,2024,0,12251,Diesel,Manual,3,1257,128.5,22.6,5,Ahmedabad,Dealer,8.27,6.54
Nexon EV,Tata,2020,4,25603,Electric,Automatic,1,0,127.8,394.4,5,Mumbai,Individual,18.84,14.11
Safari,Tata,2024,0,8975,Diesel,Automatic,0,1956,169.8,18.2,7,Ahmedabad,Dealer,22.31,20.08
Nexon,Tata,2020,4,33835,Diesel,Manual,2,1213,122.2,25.0,5,Pune,Dealer,11.33,7.12
Harrier,Tata,2019,5,39943,Diesel,Automatic,1,1956,167.3,22.4,5,Ahmedabad,Individual,19.08,12.66
Tiago,Tata,2019,5,70314,CNG,Manual,1,1199,91.0,25.5,5,Chennai,Individual,5.98,3.67
Harrier,Tata,2024,0,11789,Diesel,Manual,2,1956,173.9,19.9,5,Delhi,Individual,15.54,13.03
Tiago,Tata,2023,1,18136,CNG,Automatic,2,1199,89.0,26.4,5,Chennai,Individual,5.3,4.07
Tigor,Tata,2020,4,22836,Petrol,Automatic,1,1199,89.0,21.0,5,Pune,Individual,6.5,4.59
Nexon EV,Tata,2024,0,3916,Electric,Automatic,1,0,142.9,371.5,5,Pune,Dealer,18.26,16.43
Nexon,Tata,2021,3,65697,Diesel,Manual,1,1434,124.1,26.9,5,Pune,Dealer,11.65,8.27
Punch,Tata,2024,0,7347,Petrol,Automatic,1,1199,89.1,14.4,5,Hyderabad,Dealer,7.45,6.71
Nexon EV,Tata,2024,0,6153,Electric,Automatic,2,0,140.6,356.3,5,Bangalore,Individual,19.46,17.09
Tigor,Tata,2019,5,82794,Petrol,Manual,2,1199,87.3,15.9,5,Mumbai,Dealer,9.12,4.99
Harrier,Tata,2019,5,44263,Diesel,Manual,3,1956,166.9,18.1,5,Hyderabad,Individual,18.04,9.85
Tigor,Tata,2018,6,73946,CNG,Manual,3,1199,88.2,27.1,5,Mumbai,Individual,9.84,4.59
Tigor,Tata,2018,6,46440,Petrol,Manual,3,1199,85.1,17.2,5,Hyderabad,Individual,9.56,4.45
Altroz,Tata,2020,4,76740,Diesel,Manual,0,1295,105.9,21.6,5,Bangalore,Dealer,8.33,6.15
Nexon EV,Tata,2020,4,36306,Electric,Automatic,0,0,129.0,257.2,5,Mumbai,Dealer,15.79,12.85
Altroz,Tata,2020,4,36718,Petrol,Automatic,0,1342,104.6,15.6,5,Mumbai,Dealer,11.28,8.54
Nexon,Tata,2019,5,102719,Diesel,Manual,2,1389,120.3,21.6,5,Hyderabad,Individual,9.03,4.97
Harrier,Tata,2021,3,39578,Diesel,Automatic,1,1956,172.5,20.1,5,Ahmedabad,Individual,14.61,11.33
Safari,Tata,2024,0,14004,Diesel,Manual,1,1956,170.2,22.4,6,Mumbai,Dealer,22.58,20.32
Harrier,Tata,2019,5,58490,Diesel,Automatic,0,1956,170.2,24.2,5,Bangalore,Individual,18.41,13.22
Harrier,Tata,2020,4,66779,Diesel,Automatic,1,1956,169.6,25.3,5,Bangalore,Dealer,20.78,13.85
Punch,Tata,2023,1,32674,Petrol,Automatic,1,1199,88.6,20.7,5,Pune,Individual,8.86,7.71
Tigor,Tata,2020,4,19779,Petrol,Automatic,0,1199,89.5,14.9,5,Mumbai,Individual,9.57,7.47
Harrier,Tata,2021,3,12334,Diesel,Automatic,0,1956,168.0,21.6,5,Ahmedabad,Dealer,16.37,14.37
Safari,Tata,2023,1,30238,Diesel,Automatic,2,1956,166.0,26.7,6,Ahmedabad,Individual,20.09,16.3
Tigor,Tata,2020,4,80074,CNG,Automatic,2,1199,88.8,22.9,5,Chennai,Dealer,7.33,4.33
Safari,Tata,2024,0,11235,Diesel,Manual,1,1956,170.2,24.6,7,Mumbai,Dealer,23.64,21.28
Nexon,Tata,2020,4,79533,Petrol,Automatic,1,1273,128.0,21.3,5,Ahmedabad,Dealer,12.99,8.38
Punch,Tata,2021,3,40775,Petrol,Manual,1,1199,89.8,16.1,5,Pune,Individual,8.4,5.97
Punch,Tata,2023,1,5840,Petrol,Manual,1,1199,87.0,16.1,5,Mumbai,Individual,7.74,6.65
Safari,Tata,2024,0,13725,Diesel,Automatic,1,1956,172.4,20.5,6,Bangalore,Dealer,23.14,20.83
Altroz,Tata,2022,2,32531,Diesel,Manual,2,1222,108.2,22.7,5,Chennai,Individual,8.88,6.36
Indica,Tata,2019,5,73053,CNG,Manual,3,1373,68.9,26.4,5,Chennai,Individual,3.19,1.59
Nexon,Tata,2023,1,16480,Petrol,Automatic,1,1210,124.2,17.8,5,Ahmedabad,Dealer,14.92,13.12
Nexon,Tata,2017,7,58413,Diesel,Manual,2,1352,128.6,25.2,5,Ahmedabad,Individual,9.43,4.52
Punch,Tata,2023,1,19304,Petrol,Automatic,0,1199,89.3,18.6,5,Bangalore,Dealer,9.95,8.96
Nexon EV,Tata,2022,2,35549,Electric,Automatic,1,0,135.5,367.0,5,Bangalore,Dealer,16.05,13.09
Indica,Tata,2009,15,97629,Petrol,Manual,1,1341,65.9,16.9,5,Mumbai,Individual,5.26,2.1
Safari,Tata,2024,0,14224,Diesel,Automatic,3,1956,173.2,24.5,6,Bangalore,Dealer,19.92,15.27
Punch,Tata,2023,1,13624,Petrol,Manual,2,1199,87.2,16.5,5,Mumbai,Individual,10.13,7.85
Indica,Tata,2016,8,157898,CNG,Manual,3,1338,68.4,29.6,5,Delhi,Individual,3.99,1.6
Safari,Tata,2023,1,17858,Diesel,Automatic,2,1956,166.6,28.0,7,Ahmedabad,Dealer,20.11,15.93
Nano,Tata,2017,7,42476,Petrol,Manual,3,676,37.3,14.7,4,Bangalore,Individual,1.92,0.84
Nexon EV,Tata,2023,1,22808,Electric,Automatic,1,0,134.2,368.0,5,Bangalore,Dealer,19.68,17.71
Punch,Tata,2024,0,11049,Petrol,Manual,0,1199,91.3,17.9,5,Pune,Individual,6.76,6.08
Altroz,Tata,2023,1,18714,Diesel,Automatic,1,1436,102.1,20.6,5,Hyderabad,Individual,10.08,9.07
Nexon,Tata,2024,0,1352,Petrol,Manual,2,1435,119.1,19.1,5,Hyderabad,Dealer,8.12,6.81
Punch,Tata,2024,0,4436,Petrol,Manual,0,1199,89.6,17.0,5,Delhi,Dealer,9.35,8.41
Tiago,Tata,2018,6,36011,Petrol,Automatic,0,1199,87.2,15.0,5,Bangalore,Dealer,5.28,3.49
Punch,Tata,2022,2,14880,Petrol,Manual,0,1199,89.9,19.2,5,Chennai,Dealer,8.89,7.6
Nexon,Tata,2019,5,31431,Diesel,Manual,0,1426,126.6,18.7,5,Mumbai,Individual,11.77,8.38
Safari,Tata,2022,2,23777,Diesel,Manual,2,1956,172.3,21.3,6,Ahmedabad,Dealer,18.98,14.05
Nexon,Tata,2023,1,9198,Diesel,Manual,1,1203,122.3,19.0,5,Hyderabad,Individual,11.05,9.74
Nexon EV,Tata,2020,4,28729,Electric,Automatic,1,0,139.5,217.9,5,Mumbai,Individual,18.28,13.47
Nexon EV,Tata,2023,1,21259,Electric,Automatic,0,0,131.1,205.6,5,Chennai,Dealer,18.41,16.57
Nano,Tata,2010,14,158263,Petrol,Manual,0,740,39.0,20.1,4,Bangalore,Individual,2.36,0.94
Safari,Tata,2024,0,3671,Diesel,Manual,3,1956,170.4,26.1,6,Hyderabad,Individual,20.14,15.82
Nexon EV,Tata,2022,2,27204,Electric,Automatic,1,0,129.0,302.0,5,Ahmedabad,Individual,19.19,16.06
Altroz,Tata,2024,0,8205,Diesel,Manual,1,1262,98.9,22.5,5,Bangalore,Dealer,7.57,6.81
Nexon EV,Tata,2024,0,8068,Electric,Automatic,2,0,136.0,328.0,5,Pune,Individual,16.32,14.39
Tigor,Tata,2021,3,20842,Petrol,Automatic,0,1199,89.8,18.4,5,Delhi,Dealer,9.49,7.74
Tiago,Tata,2016,8,143676,Petrol,Automatic,1,1199,84.3,19.2,5,Mumbai,Dealer,6.95,2.96
Tiago,Tata,2023,1,17204,CNG,Automatic,2,1199,87.5,26.7,5,Delhi,Dealer,6.77,5.48
Indica,Tata,2009,15,126257,CNG,Manual,0,1208,69.2,23.5,5,Pune,Individual,4.15,1.66
Punch,Tata,2022,2,46122,Petrol,Automatic,0,1199,90.8,21.1,5,Pune,Individual,6.77,5.81
Nexon,Tata,2017,7,108351,Diesel,Manual,0,1419,116.3,22.5,5,Chennai,Dealer,11.69,6.46
Punch,Tata,2024,0,3242,Petrol,Automatic,1,1199,87.5,17.3,5,Delhi,Dealer,9.71,8.74
Punch,Tata,2021,3,57495,Petrol,Manual,1,1199,88.2,15.5,5,Mumbai,Dealer,8.69,6.09
